"Title","Journal","Year","Authors","DOI","PMID","Abstract"
"Motion Planning and Tracking Control Algorithm for Autonomous Truck with Trailer","IFAC-PAPERSONLINE","2023","Bos, Mathias; Vandewal, Bastiaan; Decré, Wilm; Swevers, Jan","10.1016/j.ifacol.2023.10.1258","41286550","Abstract

PURPOSE
To demonstrate the feasibility of a novel dual-phase self-navigated, free-breathing balanced steady-state free-precession whole-heart MRA acquisition for aortic annulus size measurement using a Cartesian trajectory that mitigates eddy-current artifacts by minimizing k-space jumps between consecutive readouts with predictable scan times.

METHODS
The proposed method uses a trajectory with Preserved Eddy-current Tolerance with Adaptive k-space Lengths (PETAL) that enables the acquisition of multiple navigators per heartbeat to address respiratory motion throughout a 330-510 ms acquisition window across different cardiac phases. Imaging was performed in 15 healthy volunteers on a 3 T MR system using a sequence compiled in Pulseq. Images were reconstructed in systole and diastole. Aortic annulus perimeter and area were measured for both cardiac phases. A clinical MRA and a breath-held 2D bSSFP cine planned at the valve plane were used to statistically compare metrics in diastole and systole, respectively.

RESULTS
In diastole, the PETAL sequence yielded a high correlation with the clinical reference for aortic annulus area (  ICC = 0.987 $$ \mathrm{ICC}=0.987 $$  ) and perimeter (  ICC = 0.996 $$ \mathrm{ICC}=0.996 $$  ) and low bias (0.008 cm2 and -0.018 cm, respectively), with no statistically significant difference. In systole, the proposed method presented a high correlation with the reference for aortic annulus area (  ICC = 0.989 $$ \mathrm{ICC}=0.989 $$  ) and perimeter (  ICC = 0.986 $$ \mathrm{ICC}=0.986 $$  ), bias of 0.02 cm2 and 0.073 cm, respectively, no statistically significant difference for aortic annulus area and a statistically significant difference for perimeter (  p = 0.029 $$ p=0.029 $$  ).

CONCLUSION
The proposed approach enables dual-phase, contrast-free, free-breathing acquisition of isotropic 3D whole-heart images in predictable 10 min scan times for aortic size measurements in systole and diastole."
"Model predictive control for unprotected left-turn based on sequential convex programming","JOURNAL OF AUTOMATION AND INTELLIGENCE","2024","Hao, Changlong; Zhang, Yuan; Xia, Yuanqing","10.1016/j.jai.2024.10.001","41285133",
"Csg: Critical scenario generation from real traffic accidents","IFAC PROCEEDINGS VOLUMES","2003","Hoogendoorn, S.P.; Schuurman, H.; De Schutter, B.","10.1016/s1474-6670(17)32437-0","41281771","Abstract

BACKGROUND
COPD is the seventh-leading cause of death in France. The randomized controlled trials ETHOS (NCT02465567) and IMPACT (NCT02164513) have demonstrated a reduction in exacerbations (primary endpoint) and suggest a decrease in mortality (secondary endpoint) with single-inhaler triple therapy (SITT)-containing a long-acting beta-2 agonist, long-acting anticholinergics, and an inhaled corticosteroid-in patients with COPD. No study has evaluated the potential impact of increased SITT use in France.

OBJECTIVE
To evaluate the impact of increased SITT use in COPD on exacerbations, mortality, and medical costs in France.

METHODS
A stochastic model was constructed using GOLD therapeutic recommendations and literature data on patient characteristics, prevalence, incidence, treatment distribution, COPD severity and treatment changes, mortality, and exacerbations to model the French COPD population. Two scenarios were studied: Status Quo (no increase in SITT use) and Increased SITT, using the GOLD stage and exacerbation history to initiate SITT treatment in modeled patients, considering the annual probabilities of transitioning from one GOLD stage to another over a 10-year period.

RESULTS
Increased SITT use compared to the Status Quo over a 10-year period could reduce severe and moderate exacerbations by 8.0% and 9.2%, respectively, all-cause mortality by 8.5%, and medical costs by 875 million euros (excluding additional SITT costs), and extend the life of patients by 0.6 years per patient with COPD.

CONCLUSION
The model shows that increased SITT use in France, in line with recent recommendations, could be associated with a reduction in exacerbation rates, mortality, and costs in patients with COPD."
"Iterative em planning: A flexible motion planning platform for autonomous driving on urban roads","IEEE TRANSACTIONS ON INTELLIGENT VEHICLES","2019","Chen, Jianyu; Zhan, Wei; Tomizuka, Masayoshi","10.1109/tiv.2019.2904385","41111961","Neurodevelopmental disorders (NDD), as defined by DSM-5-TR and CDDR, comprise heterogeneous early-onset conditions involving executive dysfunction, motor planning deficits, language impairments, and socio-emotional dysregulation. Evidence from neuroimaging and clinical studies suggests that music-based interventions may engage distributed neural networks-including fronto-striatal, temporo-parietal, limbic, and brainstem circuits-through predictive timing, cross-modal synchronization, and adaptive plasticity. However, clinical translation has been hindered by methodological heterogeneity, insufficient standardization, and reduced reproducibility, together with limited integration of clinical, functional, and neurophysiological indicators, absence of unified protocols combining individualized and orchestral modules with explicit transfer mechanisms, and insufficient monitoring of fidelity and multisite feasibility. This perspective proposes the IncluSive Orchestral mUsic therapy accordiNg to the euterpe methoD (I-SOUND), a clinically adapted orchestral framework structured to integrate three complementary modules: Individual Music Therapy (IMT), an Orchestral Music Therapy module (OMT), and a Multidirectional and Iterative Transfer Process (MIT-P). Developed from the progressive refinement of the Euterpe Method and the pediatric EM Active algorithm, the model is intended to target specific neurofunctional domains and to explore generalization to everyday contexts. A two-phase evaluation-comprising an observational study followed by a randomized controlled trial-is planned to assess feasibility, fidelity, sustainability, and clinical applicability in heterogeneous NDD populations. Particular attention is given to the methodological challenge of balancing ethical inclusion with internal validity. No efficacy claims are advanced, as the framework requires empirical verification before clinical conclusions can be drawn."
"Autonomous‐driving vehicle test technology based on virtual reality","THE JOURNAL OF ENGINEERING","2018","Yao, Shouwen; Zhang, Jiahao; Hu, Ziran; Wang, Yu; Zhou, Xilin","10.1049/joe.2018.8303","39973862","Motion sickness induced by autonomous driving technology poses a new challenge to the emerging sustainable transportation systems. This study investigates the association between motion sickness in autonomous driving and electroencephalogram (EEG) signals under three laboratory-based simulated scenarios: manual driving, resting, and autonomous driving. EEG data were recorded from participants in each mode, alongside the collection of motion sickness symptoms through questionnaires. Data analysis and exploration were conducted to explore the relationship between autonomous driving-induced motion sickness and EEG signals. The results indicate a significantly higher probability of motion sickness among passengers in autonomous driving mode than in manual one. Across different driving modes, a correlation was observed between the amplitude and latency of N200 and P300 event-related potentials (ERPs) in the Go/Nogo paradigm, reflecting response inhibition and the occurrence of motion sickness. Temporal analysis of EEG signals revealed significant differences in the Kolmogorov complexity values at Cz, Fz, and Pz channels, suggesting the potential use of EEG-based detection of motion sickness. Frequency domain analysis indicated increased activity in alpha and gamma waves and decreased activity in beta waves following the onset of motion sickness during autonomous driving. Distinct changes were observed in the electrocortical topography of N200 and P300 components in autonomous driving through event-related potential waveforms and topographic maps. These findings provide new insights into the neural mechanisms of motion sickness in autonomous driving and offer guidance for future intervention methods and improvements in the design of autonomous driving systems, thereby promoting their sustainability and safety."
"A path planning framework based on an improved weighted heuristic RRT and optimization strategy","IEEE TRANSACTIONS ON INTELLIGENT VEHICLES","2024","Wang, Lihui; Wang, Zhuoxuan; Ying, Zehua; Bai, Xiao; Xu, Ninghui","10.1109/tiv.2023.3320401","41116384","Building on the work of Almasan et al. [IEEE Trans. Netw. Sci. Eng. 12, 1649 (2025)10.1109/TNSE.2025.3537162], we propose a continuous-time Markov model for human contact dynamics denoted the continuous random walkers induced temporal graph model (CRWIG). In CRWIG, M walkers move randomly and independently of each other on a Markov graph with N nodes in continuous time. If walkers are in the same state (node of the Markov graph) at time t, a link is created between them in their temporal contact graph G(t), where each walker corresponds to one of the M nodes. We define the exact Markov governing equation that describes the movement of the ensemble of M walkers. We investigate the consequences of the time discretization of CRWIG. We prove that CRWIG is characterized by exponential decay of the initial condition and exponentially tailed intermeeting times of the walkers. We investigate two special cases of CRWIG and derive analytical results supported by simulations. We extend the model to allow for nonexponential sojourn times for the single walkers. The non-Markovian model extension of CRWIG is able to reproduce empirical properties of human mobility observed on data: arbitrary flight length distribution, arbitrary pause-time distribution, and intermeeting time distributions that are power-law with an exponential tail."
"Occlusion-Aware Path Planning to Promote Infrared Positioning Accuracy for Autonomous Driving in a Warehouse","ELECTRONICS","2021","Li, Bai; Tang, Shiqi; Zhang, Youmin; Zhong, Xiang","10.3390/electronics10243093","41282813","Abstract

UNLABELLED
Plasmids are extrachromosomal mobile genetic elements that often carry genes responsible for antimicrobial resistance. Plasmid epidemiology aims to track the evolution and spread of plasmids, but the field currently faces significant barriers that make practical implementation using whole genome sequence data difficult. Hybrid-assembled genomes remain the most reliable way to identify and track complete plasmids; however, most genomic surveillance data exists in the form of short-read sequencing, which lacks the resolution required to accurately resolve plasmids. Despite recent advances, long-read-only assemblies have not yet reached the consistency seen in hybrid assemblies. The ideal approach to plasmid epidemiology using whole genome sequence data would consider the limitations of sequencing technologies and the constraints of existing genomic surveillance infrastructure, in addition to the unique evolutionary biology of plasmids. Here, we present ACCIO (Assembly-based Circular Contig Identification for Outbreaks), a tool which creates a reference plasmid database and uses it to infer which plasmids, and genetically related plasmid groupings, are present in an input assembly (Illumina, Nanopore, or hybrid assembly). We validated ACCIO using an internal dataset of 303 plasmid-harboring bacterial clinical and surveillance isolates collected from a single acute tertiary care center. When highly related database plasmids were grouped together, ACCIO achieved 100% sensitivity and 92.1% positive predictive value (PPV) for detection of plasmid groups using hybrid assemblies, and comparably strong performance for Illumina (93.0% sensitivity, 86.6% PPV) and Nanopore (79.3% sensitivity, 91.4% PPV) assemblies. Evaluation on three external datasets yielded consistently high performance. Finally, when benchmarked against MOB-suite, a tool for reconstruction and typing of plasmids, ACCIO demonstrated superior performance across nearly all assembly types and plasmid grouping levels. By integrating database construction, clustering, and plasmid calling into a single workflow compatible with all major sequencing platforms, ACCIO is intended to help advance plasmid epidemiology beyond its current technological and infrastructural barriers.

IMPACT STATEMENT
3.Detecting and tracking plasmids-the mobile genetic elements often responsible for spreading antimicrobial resistance in hospital settings-is challenging, particularly when relying on short-read sequencing data alone. Short-read genome assemblies, despite widespread use in surveillance of bacterial pathogens, inherently lack the resolution required for plasmid analyses. Current bioinformatic methods struggle to identify whole plasmids from short-read assemblies alone, and often, hybrid assembly using both short- and long-read data is required for the robust analyses that are essential for tracking plasmids.To address these challenges, we developed ACCIO, a bioinformatics tool which utilizes input genome assemblies (short-read, long-read, or hybrid assemblies) to assess the plasmid content of clinical bacterial isolates for epidemiologic purposes. We validated its use against the recovery of circular plasmid sequences from hybrid assembled genomes as a gold standard method for determining plasmid content. Using a curated local database of 430 plasmid sequences, ACCIO provided accurate inferences of plasmid content from short-read (Illumina), long-read (Oxford Nanopore Technologies), and hybrid assemblies (both), ultimately facilitating genomic surveillance of plasmids regardless of sequencing technology. This work represents a meaningful step forward in advancing plasmid surveillance beyond the technological and infrastructural barriers that limit its broader expansion into healthcare and other settings.

DATA SUMMARY
4.Short- and long-read sequencing data have been deposited in the NCBI Sequence Read Archive (SRA) under multiple BioProjects, and corresponding hybrid genome assemblies are available in GenBank. Accession numbers for all BioProjects, BioSamples, and SRA datasets are provided in Supplementary Data S1. All supporting data, software code, and experimental/analysis protocols are provided within the article or in supplementary data files. External validation of ACCIO used three external datasets (Cho et al. 2023, BioProjects PRJNA475751 and PRJNA874473, DOI: 10.1038/s41598-024-70540-1; Lipworth et al. 2024, BioProject: PRJNA604975, DOI: 10.1038/s41467-024-45761-7; Khezri et al. 2021, European Nucleotide Archive (ENA): PRJEB45084, DOI: 10.3390/microorganisms9122560).List of External Software:: MOB-suite (v3.1.9) - https://github.com/phac-nml/mob-suite Skani (v0.2.2) - https://github.com/bluenote-1577/skani Scipy (v1.16.1) - https://github.com/scipy/scipy Pling (v2.0.0) - https://github.com/iqbal-lab-org/pling MUMmer / NUCmer (v4.0.1) - https://mummer4.github.io/ Mash / Mash Screen (v2.3) - https://github.com/marbl/Mash SPAdes (v3.15.5) - https://github.com/ablab/spades Unicycler (v0.5.1) - https://github.com/rrwick/Unicycler Flye (v2.9.5) - https://github.com/mikolmogorov/Flye QUAST (v5.2.0) - https://github.com/ablab/quast Kraken2 (v2.1.3) - https://github.com/DerrickWood/kraken2 CheckM (v0.4) - https://github.com/Ecogenomics/CheckM Albacore/Guppy - [no longer officially hosted; was distributed by ONT] Guppy - https://nanoporetech.com/software/other/guppy Dorado - https://github.com/nanoporetech/dorado Bowtie2 (v2.5.4) - https://github.com/BenLangmead/bowtie2 Minimap2 (v2.28) - https://github.com/lh3/minimap2 Biopython (v1.85) - https://biopython.org/ Pandas (v2.3.1) - https://pandas.pydata.org/ Plasme (v1.1) - https://github.com/HubertTang/PLASMe BLAST(v2.17.0) - https://blast.ncbi.nlm.nih.gov/Blast.cgi."
"Research on the trajectory planning method of inland waterway vessels based on Frenet coordinate system","AUTOMATION","2022","Thind, Navreet S.; Hering, Justus; Söffker, Dirk","10.3390/automation3040032","41282813","Abstract

UNLABELLED
Plasmids are extrachromosomal mobile genetic elements that often carry genes responsible for antimicrobial resistance. Plasmid epidemiology aims to track the evolution and spread of plasmids, but the field currently faces significant barriers that make practical implementation using whole genome sequence data difficult. Hybrid-assembled genomes remain the most reliable way to identify and track complete plasmids; however, most genomic surveillance data exists in the form of short-read sequencing, which lacks the resolution required to accurately resolve plasmids. Despite recent advances, long-read-only assemblies have not yet reached the consistency seen in hybrid assemblies. The ideal approach to plasmid epidemiology using whole genome sequence data would consider the limitations of sequencing technologies and the constraints of existing genomic surveillance infrastructure, in addition to the unique evolutionary biology of plasmids. Here, we present ACCIO (Assembly-based Circular Contig Identification for Outbreaks), a tool which creates a reference plasmid database and uses it to infer which plasmids, and genetically related plasmid groupings, are present in an input assembly (Illumina, Nanopore, or hybrid assembly). We validated ACCIO using an internal dataset of 303 plasmid-harboring bacterial clinical and surveillance isolates collected from a single acute tertiary care center. When highly related database plasmids were grouped together, ACCIO achieved 100% sensitivity and 92.1% positive predictive value (PPV) for detection of plasmid groups using hybrid assemblies, and comparably strong performance for Illumina (93.0% sensitivity, 86.6% PPV) and Nanopore (79.3% sensitivity, 91.4% PPV) assemblies. Evaluation on three external datasets yielded consistently high performance. Finally, when benchmarked against MOB-suite, a tool for reconstruction and typing of plasmids, ACCIO demonstrated superior performance across nearly all assembly types and plasmid grouping levels. By integrating database construction, clustering, and plasmid calling into a single workflow compatible with all major sequencing platforms, ACCIO is intended to help advance plasmid epidemiology beyond its current technological and infrastructural barriers.

IMPACT STATEMENT
3.Detecting and tracking plasmids-the mobile genetic elements often responsible for spreading antimicrobial resistance in hospital settings-is challenging, particularly when relying on short-read sequencing data alone. Short-read genome assemblies, despite widespread use in surveillance of bacterial pathogens, inherently lack the resolution required for plasmid analyses. Current bioinformatic methods struggle to identify whole plasmids from short-read assemblies alone, and often, hybrid assembly using both short- and long-read data is required for the robust analyses that are essential for tracking plasmids.To address these challenges, we developed ACCIO, a bioinformatics tool which utilizes input genome assemblies (short-read, long-read, or hybrid assemblies) to assess the plasmid content of clinical bacterial isolates for epidemiologic purposes. We validated its use against the recovery of circular plasmid sequences from hybrid assembled genomes as a gold standard method for determining plasmid content. Using a curated local database of 430 plasmid sequences, ACCIO provided accurate inferences of plasmid content from short-read (Illumina), long-read (Oxford Nanopore Technologies), and hybrid assemblies (both), ultimately facilitating genomic surveillance of plasmids regardless of sequencing technology. This work represents a meaningful step forward in advancing plasmid surveillance beyond the technological and infrastructural barriers that limit its broader expansion into healthcare and other settings.

DATA SUMMARY
4.Short- and long-read sequencing data have been deposited in the NCBI Sequence Read Archive (SRA) under multiple BioProjects, and corresponding hybrid genome assemblies are available in GenBank. Accession numbers for all BioProjects, BioSamples, and SRA datasets are provided in Supplementary Data S1. All supporting data, software code, and experimental/analysis protocols are provided within the article or in supplementary data files. External validation of ACCIO used three external datasets (Cho et al. 2023, BioProjects PRJNA475751 and PRJNA874473, DOI: 10.1038/s41598-024-70540-1; Lipworth et al. 2024, BioProject: PRJNA604975, DOI: 10.1038/s41467-024-45761-7; Khezri et al. 2021, European Nucleotide Archive (ENA): PRJEB45084, DOI: 10.3390/microorganisms9122560).List of External Software:: MOB-suite (v3.1.9) - https://github.com/phac-nml/mob-suite Skani (v0.2.2) - https://github.com/bluenote-1577/skani Scipy (v1.16.1) - https://github.com/scipy/scipy Pling (v2.0.0) - https://github.com/iqbal-lab-org/pling MUMmer / NUCmer (v4.0.1) - https://mummer4.github.io/ Mash / Mash Screen (v2.3) - https://github.com/marbl/Mash SPAdes (v3.15.5) - https://github.com/ablab/spades Unicycler (v0.5.1) - https://github.com/rrwick/Unicycler Flye (v2.9.5) - https://github.com/mikolmogorov/Flye QUAST (v5.2.0) - https://github.com/ablab/quast Kraken2 (v2.1.3) - https://github.com/DerrickWood/kraken2 CheckM (v0.4) - https://github.com/Ecogenomics/CheckM Albacore/Guppy - [no longer officially hosted; was distributed by ONT] Guppy - https://nanoporetech.com/software/other/guppy Dorado - https://github.com/nanoporetech/dorado Bowtie2 (v2.5.4) - https://github.com/BenLangmead/bowtie2 Minimap2 (v2.28) - https://github.com/lh3/minimap2 Biopython (v1.85) - https://biopython.org/ Pandas (v2.3.1) - https://pandas.pydata.org/ Plasme (v1.1) - https://github.com/HubertTang/PLASMe BLAST(v2.17.0) - https://blast.ncbi.nlm.nih.gov/Blast.cgi."
"Continuous Curvature Parking Path Planning for Unmanned Mining Trucks Using Transition Curves and Model Predictive Control","SAE INTERNATIONAL JOURNAL OF COMMERCIAL VEHICLES","2024","Zhang, Haosen; Chen, Qiushi; Wu, Guangqiang","10.4271/02-18-01-0003","41288048","Hip osteoarthritis is common in middle and older age. The musculoskeletal rehabilitation clinician's approach to managing pain and mobility deficits associated with hip osteoarthritis should include exercise therapy and manual therapy. Here, we present for clinicians the most up-to-date information to guide their work to manage hip pain and mobility deficits associated with hip osteoarthritis. J Orthop Sports Phys Ther 2025;55(12):1-2. doi:10.2519/jospt.2025.0504."
"Safe driving adversarial trajectory can mislead: Toward more stealthy adversarial attack against autonomous driving prediction module","ACM TRANSACTIONS ON PRIVACY AND SECURITY","2025","Dong, Yingkai; Wang, Li; Li, Zheng; Li, Hao; Tang, Peng; Hu, Chengyu; Guo, Shanqing","10.1145/3705611","40727313","In software engineering, models are used for many different things. In this paper, we focus on program verification, where we use models to reason about the correctness of systems. There are many different types of program verification techniques which provide different correctness guarantees. We investigate the domain of program verification tools and present a concise megamodel to distinguish these tools. We also present a data set of 400+ program verification tools. This data set includes the category of verification tool according to our megamodel, practical information such as input/output format, repository links and more. The practical information, such as last commit date, is kept up to date through the use of APIs. Moreover, part of the data extraction has been automated to make it easier to expand the data set. The categorisation enables software engineers to find suitable tools, investigate alternatives and compare tools. We also identify trends for each level in our megamodel. Our data set, publicly available at https://doi.org/10.4121/20347950, can be used by software engineers to enter the world of program verification and find a verification tool based on their requirements. This paper is an extended version of https://doi.org/10.1145/3550355.3552426."
"Hd Maps for Autonomous Vehicles: Challenges and Representing Frameworks","PRODUCTION ENGINEERING ARCHIVES","2017","Barsi, Arpad; Poto, Vivien; Somogyi, Arpad; Lovas, Tamas; Tihanyi, Viktor; Szalay, Zsolt","10.30657/pea.2017.16.09","40942942","High-definition (HD) maps are essential for safe and reliable autonomous driving, but their growing size and the need for real-time updates pose significant challenges for in-vehicle storage and communication efficiency. This study proposes a lightweight and scalable HD map provisioning system based on Geohash spatial indexing and Smart Roadside Units (Smart RSUs). The system divides HD map data into Geohash-based spatial blocks and enables vehicles to request only the map segments corresponding to their current location, reducing storage burden and communication load. To validate the system's effectiveness, we constructed a simulation environment where multiple vehicle clients simultaneously request map data from a Smart RSU. Experimental results showed that the proposed Geohash-based approach achieved an average response time (RTT) of 1244.82 ms-approximately 296.3% faster than the conventional GPS-based spatial query method-and improved database query performance by 1072.6%. Additionally, we demonstrate the system's scalability by adjusting Geohash levels according to road density, using finer blocks in urban areas and coarser blocks in rural areas. The hierarchical nature of Geohash also enables consistent integration of blocks with different resolutions. These results confirm that the proposed method provides an efficient and real-time HD map delivery framework suitable for dynamic and dense traffic environments."
"Monte Carlo Tree Search for Behavior Planning in Autonomous Driving","IEEE TRANSACTIONS ON VEHICULAR TECHNOLOGY","2020","Chen, Jienan; Zhang, Cong; Luo, Jinting; Xie, Junfei; Wan, Yan","10.1109/tvt.2020.2991584","41116384","Building on the work of Almasan et al. [IEEE Trans. Netw. Sci. Eng. 12, 1649 (2025)10.1109/TNSE.2025.3537162], we propose a continuous-time Markov model for human contact dynamics denoted the continuous random walkers induced temporal graph model (CRWIG). In CRWIG, M walkers move randomly and independently of each other on a Markov graph with N nodes in continuous time. If walkers are in the same state (node of the Markov graph) at time t, a link is created between them in their temporal contact graph G(t), where each walker corresponds to one of the M nodes. We define the exact Markov governing equation that describes the movement of the ensemble of M walkers. We investigate the consequences of the time discretization of CRWIG. We prove that CRWIG is characterized by exponential decay of the initial condition and exponentially tailed intermeeting times of the walkers. We investigate two special cases of CRWIG and derive analytical results supported by simulations. We extend the model to allow for nonexponential sojourn times for the single walkers. The non-Markovian model extension of CRWIG is able to reproduce empirical properties of human mobility observed on data: arbitrary flight length distribution, arbitrary pause-time distribution, and intermeeting time distributions that are power-law with an exponential tail."
"Automatic map generation for autonomous driving system testing","PROCEEDINGS OF THE ACM ON SOFTWARE ENGINEERING","2025","Tu, Zhi; Niu, Liangkun; Fan, Wei; Zhang, Tianyi","10.1145/3729348","37514797","Statistical learning techniques and increased computational power have facilitated the development of self-driving car technology. However, a limiting factor has been the high expense of scaling and maintaining high-definition (HD) maps. These maps are a crucial backbone for many approaches to self-driving technology. In response to this challenge, we present an approach that fuses pre-built point cloud map data with images to automatically and accurately identify static landmarks such as roads, sidewalks, and crosswalks. Our pipeline utilizes semantic segmentation of 2D images, associates semantic labels with points in point cloud maps to pinpoint locations in the physical world, and employs a confusion matrix formulation to generate a probabilistic bird's-eye view semantic map from semantic point clouds. The approach has been tested in an urban area with different segmentation networks to generate a semantic map with road features. The resulting map provides a rich context of the environment that is valuable for downstream tasks such as trajectory generation and intent prediction. Moreover, it has the potential to be extended to the automatic generation of HD maps for semantic features. The entire software pipeline is implemented in the robot operating system (ROS), a widely used robotics framework, and made available."
"Local Path Dynamic Programming Algorithm for Automatic Row Alignment Traveling of Wine Grape Harvester","ACM SIGAPL APL QUOTE QUAD","1993","Sniedovich, Moshe","10.1145/173834.173835","40727313","In software engineering, models are used for many different things. In this paper, we focus on program verification, where we use models to reason about the correctness of systems. There are many different types of program verification techniques which provide different correctness guarantees. We investigate the domain of program verification tools and present a concise megamodel to distinguish these tools. We also present a data set of 400+ program verification tools. This data set includes the category of verification tool according to our megamodel, practical information such as input/output format, repository links and more. The practical information, such as last commit date, is kept up to date through the use of APIs. Moreover, part of the data extraction has been automated to make it easier to expand the data set. The categorisation enables software engineers to find suitable tools, investigate alternatives and compare tools. We also identify trends for each level in our megamodel. Our data set, publicly available at https://doi.org/10.4121/20347950, can be used by software engineers to enter the world of program verification and find a verification tool based on their requirements. This paper is an extended version of https://doi.org/10.1145/3550355.3552426."
"Decision planning for intelligent vehicles in obstacle avoidance using APF-QP methods: M. Ma et al.","INTERNATIONAL JOURNAL OF DYNAMICS AND CONTROL","2025","Ma, Minrui; Huang, Bin; Ma, Liutao; Yang, Xu","10.1007/s40435-025-01924-y","40558346","This paper presents an enhanced artificial lemming algorithm (EALA) for solving complex unmanned aircraft system (UAV) path planning problems in three-dimensional environments. Key improvements include chaotic initialization, adaptive perturbation, and hybrid mutation, enabling a better exploration-exploitation balance and local refinement. Validation on the IEEE CEC2017 and CEC2022 benchmark functions demonstrates the EALA's superior performance, achieving faster convergence and better algorithm performance compared to the standard ALA and 10 other algorithms. When applied to UAV path planning in large- and medium-scale environments with realistic obstacle constraints, the EALA generates Pareto-optimal paths that minimize length, curvature, and computation time while guaranteeing collision avoidance. Benchmark tests and realistic simulations show that the EALA outperforms 10 algorithms. This method is particularly suited for mission-critical applications with strict safety and time constraints."
"Historical improvement optimal motion planning with model predictive trajectory optimization for on-road autonomous vehicle","JURNAL REKAYASA ELEKTRIKA","2024","Subiyanto, Subiyanto; Hangga, Arimaz; Bahatmaka, Aldias; Salim, Nur Azis; Sutrisno, Deyndrawan; Yunus, Elfandy; Budi Arif Prabowo, Setya; Hilmi Farras, Muhammad; Sanggrahita, Diadora","10.17529/jre.v20i3.39281",,
"HD-Maps in autonomous driving","INTERNATIONAL JOURNAL OF HIGHWAY ENGINEERING","2022","Park, Goan; Kim, Dokyun; Haider, Ibrahim; Choi, Jihyang","10.7855/ijhe.2022.24.2.041",,
